id,first_name,middle_name,last_name,email,address_line_1,address_line_2,address_village,address_zip,ID_type,ID_num,date_issued,date_expired,height,weight,hair,eye,sex,class,endorsements,restrictions,dob
1,Tammy,Mildred,Hicks,mhicks0@163.com,7038 Butternut Trail,931 Garrison Terrace,Agana Hts.,96931,Guam Drivers License,9864892963,8/12/2003,1/14/2001,5.737,150.1,Teal,Teal,Female,Master,AB,Z,8/25/1996
2,Mildred,Teresa,White,twhite1@google.com.au,633 Arapahoe Street,0924 Gale Avenue,Umatac,96922,Guam ID Card,4932095955,11/12/1932,2/3/1930,6.189,339.37,Blue,Crimson,Female,Chauffeur,ABCD,ZY,8/31/1982
3,Juan,Daniel,Baker,dbaker2@lycos.com,920 Amoth Crossing,572 Corscot Drive,Mongmong/Toto/Maite,96912,Guam Drivers License,4894933126,1/27/1960,1/4/1978,5.691,292.78,Pink,Orange,Male,Master,ABC,ZYX,5/25/2002
4,Amanda,Amanda,Kennedy,akennedy3@macromedia.com,018 Fallview Crossing,7555 Hudson Pass,Dededo,96910,Guam Drivers License,3627958454,8/20/2008,8/21/1931,6.251,273.95,Green,Yellow,Female,Master,AB,Z,4/1/1972
5,Margaret,Sarah,Holmes,sholmes4@51.la,27 Bayside Point,03 Meadow Vale Junction,Inarajan,96932,Guam ID Card,7490715690,8/23/1992,3/30/1979,7.033,240.86,Red,Orange,Female,Master,A,ZY,1/16/1952
6,Christina,Angela,Wilson,awilson5@blogs.com,24226 Russell Pass,29487 Forest Center,inajana,96914,Guam Drivers License,10645022581,7/11/1988,3/6/1925,6.224,241.38,Khaki,Khaki,Female,Operator,ABC,ZY,9/17/2002
7,Ruby,Nancy,Mason,nmason6@infoseek.co.jp,561 Buhler Plaza,29065 Westridge Lane,Tamuning,96921,Guam ID Card,9523890790,11/7/1943,5/1/1929,6.0,292.18,Fuscia,Red,Female,Master,A,ZY,9/22/1978
8,Nicholas,Eric,Garza,egarza7@webnode.com,09 Algoma Center,039 Helena Alley,Tamuning,96925,Guam Drivers License,5768411602,12/1/1989,8/2/2018,4.179,159.25,Maroon,Goldenrod,Male,Operator,ABC,Z,2/4/1964
9,Joshua,David,Hudson,dhudson8@wiley.com,3150 Anderson Alley,304 Ilene Street,inajana,96913,Guam ID Card,8823182971,5/26/1980,9/9/1958,7.818,122.39,Teal,Pink,Male,Chauffeur,ABCD,ZYX,11/21/2007
10,Fred,Douglas,Roberts,droberts9@myspace.com,363 7th Court,52 Rigney Street,Piti,96928,Guam ID Card,3759454542,10/30/1998,11/7/1982,5.648,139.76,Goldenrod,Crimson,Male,Operator,ABCDE,ZYX,7/11/1992
11,Wanda,Cynthia,Franklin,cfranklina@prlog.org,2 Doe Crossing Circle,1 Nova Point,Agana Hts.,96932,Guam ID Card,10564590972,6/7/1986,5/19/1942,4.439,137.85,Turquoise,Goldenrod,Female,Operator,ABCD,Z,4/8/1951
12,Heather,Joyce,Kim,jkimb@oakley.com,6613 Banding Parkway,3 Toban Parkway,Talofofo,96930,Guam Drivers License,9290780260,12/19/2002,8/23/1927,5.396,340.05,Turquoise,Violet,Female,Chauffeur,ABCDE,ZY,7/12/2004
